crop,region,soil_type,rainfall_mm,avg_temp_c,humidity_pct,sunlight_hours,soil_ph,soil_nitrogen_kg_ha,soil_phosphorus_kg_ha,soil_potassium_kg_ha,soil_organic_matter_pct,fertilizer_kg_ha,irrigation_mm,pesticide_l_ha,ndvi,planting_density_k_per_ha,days_to_harvest,yield_tons_per_ha
Maize,West,Loamy,659.2,21.3,63.8,7.04,5.79,61.1,50.6,41.9,3.15,208.3,358.5,3.12,0.569,89.1,118,4.747
Cotton,West,Loamy,393.0,21.7,78.1,6.33,5.73,69.5,64.8,49.4,2.23,179.8,273.2,1.48,0.554,71.1,132,1.661
Cotton,Central,Loamy,291.3,15.3,42.0,4.17,5.96,67.5,33.0,44.8,3.28,116.5,368.0,4.91,0.351,78.4,108,1.379
Maize,North,Clayey,658.4,33.7,32.8,4.6,5.68,65.4,44.3,42.0,4.83,214.9,349.5,3.07,0.895,70.0,83,4.362
Soybean,West,Silty,790.7,20.9,75.3,7.65,7.03,26.1,31.7,49.6,4.17,137.4,346.5,0.0,0.681,96.2,133,2.292
Rice,Central,Silty,776.4,33.5,45.8,7.67,5.8,56.0,51.2,52.2,1.09,153.6,265.9,1.51,0.433,64.0,134,3.707
Cotton,Central,Sandy,579.7,21.4,54.3,5.44,6.41,59.7,28.9,46.9,5.48,110.3,255.4,1.24,0.659,86.4,160,1.828
Soybean,East,Loamy,705.1,18.4,50.8,9.34,5.78,65.6,51.0,42.4,4.18,135.3,344.5,4.12,0.548,102.6,128,2.007
Cotton,West,Clayey,240.7,31.9,50.5,5.34,5.68,57.7,31.2,29.8,4.59,124.7,156.0,1.07,0.81,84.2,122,1.612
Rice,Central,Loamy,815.0,23.6,38.1,7.39,7.27,73.3,49.2,36.6,1.48,67.1,648.0,0.0,0.556,81.2,127,4.905
Soybean,Central,Clayey,740.4,23.6,51.5,6.38,7.62,22.6,54.5,40.7,2.59,188.2,0.0,3.02,0.593,88.1,115,2.718
Maize,Central,Sandy,1193.4,16.3,69.7,7.16,7.39,58.4,21.4,45.2,3.59,160.1,232.7,0.0,0.506,66.0,119,4.011
Wheat,Central,Silty,701.9,21.3,59.9,8.35,5.47,57.2,23.8,20.7,1.88,197.7,361.7,1.65,0.672,36.3,105,2.804
Wheat,South,Clayey,464.3,26.6,67.6,8.14,5.57,63.5,42.8,53.7,3.53,107.8,387.6,2.81,0.598,59.9,127,3.429
Maize,West,Clayey,687.3,16.2,52.6,8.06,7.88,73.1,41.5,49.5,4.63,192.3,198.6,1.62,0.787,64.1,127,4.972
Rice,East,Sandy,618.1,20.8,73.5,7.87,6.32,36.7,36.5,36.9,2.67,55.9,222.0,3.43,0.646,86.5,116,5.304
Wheat,Central,Silty,808.7,21.5,52.4,5.09,5.54,72.6,34.3,32.2,4.7,182.5,306.0,2.41,0.95,61.7,96,3.077
Maize,Central,Clayey,706.7,24.4,28.4,8.7,7.26,62.2,29.7,35.4,3.7,190.5,137.0,1.1,0.579,64.3,83,5.263
Soybean,Central,Clayey,385.0,32.9,64.7,5.41,6.55,47.2,44.0,26.5,1.14,87.7,155.7,2.23,0.481,94.9,107,2.115
Rice,East,Sandy,291.1,22.2,71.5,6.84,6.9,36.4,28.4,40.2,2.13,217.0,405.2,3.76,0.491,87.7,104,3.877
Cotton,East,Sandy,765.7,19.9,51.6,6.47,4.93,52.9,44.4,42.5,4.11,243.5,398.1,2.26,0.492,103.9,110,1.368
Soybean,North,Silty,1045.8,40.5,78.0,7.53,6.27,54.3,33.1,57.9,1.97,115.5,301.4,2.54,0.478,77.8,108,1.69
Maize,West,Sandy,719.8,21.4,47.2,6.27,7.16,55.1,34.9,51.6,4.08,237.0,392.4,2.48,0.828,49.3,163,4.583
Cotton,East,Loamy,903.3,22.9,70.1,6.76,6.05,40.6,54.6,62.5,3.61,47.9,311.2,1.29,0.562,122.6,110,1.707
Maize,East,Sandy,953.2,21.9,86.2,9.43,7.36,59.1,51.5,46.6,3.31,141.8,207.1,0.35,0.646,92.1,87,4.746
Wheat,West,Sandy,766.7,22.3,60.6,5.06,5.58,43.9,28.0,32.2,2.42,0.0,161.0,2.4,0.409,68.1,120,2.877
Wheat,Central,Sandy,496.4,24.5,56.6,7.0,6.42,68.2,29.5,69.4,3.3,205.8,374.9,3.47,0.601,97.2,110,3.03
Cotton,North,Loamy,748.8,29.5,58.4,5.33,7.65,75.7,49.3,40.5,4.68,58.2,219.1,2.61,0.249,83.9,166,1.567
Cotton,East,Loamy,1001.8,26.4,84.4,8.01,5.69,37.8,22.8,23.4,2.61,32.9,397.1,0.67,0.654,104.3,127,1.596
Soybean,West,Sandy,832.5,30.5,66.0,5.91,6.69,50.9,57.4,48.1,3.61,165.7,263.3,2.44,0.521,84.6,142,2.131
Wheat,Central,Sandy,887.1,30.3,92.2,7.06,6.91,64.6,41.6,22.7,5.01,212.2,455.9,2.96,0.841,71.5,121,2.951
Rice,West,Loamy,584.4,25.3,64.2,5.01,6.56,54.1,33.1,43.8,3.26,125.7,185.2,3.21,0.725,85.5,125,5.086
Wheat,West,Sandy,649.4,26.3,50.2,8.94,6.32,29.7,40.1,38.3,2.51,158.2,163.3,2.64,0.722,99.4,107,3.319
Wheat,Central,Sandy,670.3,30.7,51.2,7.11,5.89,63.0,56.3,52.3,2.5,255.7,324.7,2.28,0.47,64.1,119,2.879
Rice,Central,Loamy,687.2,17.3,60.9,7.21,6.64,40.9,14.4,58.3,0.92,93.0,258.2,1.38,0.655,81.0,97,4.595
Maize,West,Sandy,992.0,39.0,29.4,8.24,6.43,53.0,52.3,40.5,1.79,91.1,317.7,1.84,0.895,55.9,109,4.027
Wheat,South,Sandy,113.2,20.9,52.9,5.12,5.49,35.1,54.3,39.5,3.34,215.1,291.2,3.02,0.487,89.6,128,3.779
Cotton,East,Loamy,707.6,21.9,53.2,6.08,7.27,61.9,36.1,55.6,3.97,163.5,238.2,1.17,0.475,81.0,130,1.768
Maize,West,Silty,680.1,16.7,63.6,7.26,5.86,43.7,39.1,34.3,2.57,235.5,267.8,1.14,0.609,92.6,125,4.864
Rice,North,Loamy,357.1,16.9,89.1,4.36,5.51,63.5,41.6,45.9,3.96,72.3,37.2,2.74,0.639,100.1,105,3.899
Maize,West,Clayey,867.9,29.8,60.8,4.52,6.08,46.8,48.8,52.6,3.89,42.7,478.8,2.4,0.703,66.7,175,3.975
Soybean,East,Clayey,518.9,37.6,31.2,5.77,5.88,42.8,31.2,33.9,2.23,64.0,223.0,3.48,0.683,83.7,118,1.966
Rice,Central,Silty,610.7,20.6,46.3,5.29,6.32,56.2,39.8,40.8,2.4,192.4,352.3,2.93,0.636,84.6,126,4.08
Wheat,South,Clayey,1162.2,26.1,63.9,6.48,5.63,33.9,38.8,46.4,1.65,222.0,50.4,1.47,0.495,67.1,152,2.944
Wheat,Central,Clayey,952.5,25.3,61.4,7.78,6.81,77.0,48.1,63.6,3.74,214.2,193.5,3.57,0.9,60.1,97,3.242
Cotton,East,Silty,843.6,30.0,84.4,8.12,7.47,52.8,72.1,28.1,3.0,183.3,330.0,2.32,0.829,110.6,116,1.875
Wheat,East,Silty,795.2,37.3,74.4,9.71,6.57,41.5,31.2,42.9,3.89,225.2,516.8,2.73,0.673,71.6,166,2.682
Soybean,West,Loamy,658.8,33.1,74.0,6.97,5.49,44.0,40.9,64.0,2.94,113.6,353.0,1.67,0.791,71.5,131,2.013
Rice,East,Silty,1199.8,22.6,56.7,7.23,5.86,50.3,30.9,58.6,2.06,30.8,365.9,2.53,0.598,74.9,140,5.212
Soybean,Central,Sandy,900.5,27.2,76.5,6.96,6.65,64.9,34.1,41.1,3.78,53.0,240.2,1.5,0.423,90.1,111,2.186
Wheat,North,Loamy,512.6,27.8,46.6,7.48,5.12,36.6,27.1,44.0,1.02,62.8,297.4,0.0,0.74,70.5,110,3.475
Cotton,West,Clayey,350.0,23.9,74.5,7.6,5.64,44.5,21.6,51.4,2.66,33.9,275.1,3.84,0.416,64.3,93,1.652
Soybean,Central,Silty,841.7,17.4,55.8,8.38,5.35,49.3,54.2,51.7,2.23,68.4,335.7,1.16,0.917,83.1,170,2.027
Maize,South,Loamy,686.0,19.2,38.3,8.38,6.58,73.1,44.3,64.3,4.53,94.5,447.6,1.47,0.437,94.1,109,4.485
Rice,South,Loamy,342.8,30.9,68.9,7.78,8.01,65.0,41.1,60.8,4.75,186.4,256.7,1.4,0.819,89.1,86,4.818
Cotton,East,Silty,807.1,31.5,81.0,9.27,5.62,73.9,29.5,25.6,3.42,167.7,301.8,3.85,0.889,67.5,149,1.557
Rice,West,Clayey,632.7,22.8,53.9,7.04,7.07,50.5,39.1,22.7,2.42,240.5,251.5,2.52,0.405,58.2,103,4.873
Maize,Central,Loamy,832.7,25.6,83.4,6.08,6.11,71.5,26.1,37.4,4.72,75.6,267.6,2.67,0.39,60.7,138,4.622
Rice,West,Silty,810.4,31.2,35.2,6.33,5.58,69.0,39.7,19.1,2.3,172.4,434.8,3.0,0.685,86.6,137,5.056
Rice,West,Sandy,547.9,13.8,42.0,6.84,7.59,60.5,44.0,63.4,1.62,229.0,352.5,2.79,0.84,90.6,146,4.063
Maize,East,Sandy,858.2,21.3,57.8,5.37,8.01,61.7,33.5,24.1,1.01,119.3,337.0,2.26,0.715,70.3,85,3.692
Wheat,West,Sandy,575.5,36.1,54.4,6.08,6.79,41.1,30.9,40.8,3.1,123.3,283.6,2.22,0.486,69.1,129,3.223
Wheat,South,Clayey,591.8,25.8,50.0,5.29,6.75,77.4,34.1,32.8,1.29,232.9,195.2,3.53,0.842,55.8,93,3.482
Rice,East,Loamy,566.9,17.2,62.0,7.52,6.54,46.3,49.8,22.8,4.42,128.6,382.4,0.82,0.947,78.6,121,5.027
Wheat,North,Sandy,982.7,24.7,52.1,7.53,6.4,58.4,42.4,61.5,2.42,236.0,399.5,1.15,0.468,93.7,141,2.907
Maize,North,Sandy,629.9,30.1,54.6,4.35,6.74,60.2,20.7,36.9,1.71,61.1,404.7,2.68,0.668,66.5,77,4.923
Cotton,Central,Loamy,1043.1,8.7,64.2,6.02,6.97,29.4,48.7,71.7,4.12,247.1,297.1,2.36,0.706,101.0,109,1.509
Wheat,Central,Silty,1145.9,25.1,50.0,9.74,7.66,49.2,46.5,64.7,3.88,225.4,205.6,1.69,0.569,59.0,96,3.15
Wheat,East,Loamy,515.3,21.8,58.4,7.94,6.13,53.1,42.2,45.0,4.66,92.6,375.9,4.41,0.477,64.1,124,3.337
Wheat,North,Silty,50.0,14.1,50.3,7.68,6.59,48.3,59.7,15.7,1.3,131.5,428.6,0.85,0.452,76.8,92,4.221
Maize,North,Loamy,961.1,24.5,41.9,6.0,6.44,49.4,40.3,40.2,1.09,75.5,399.7,2.08,0.345,83.1,137,4.34
Rice,North,Sandy,614.5,23.2,71.5,7.43,7.22,72.4,45.2,77.0,4.56,120.4,205.4,2.31,0.741,75.0,114,4.052
Maize,West,Loamy,483.5,23.9,85.6,6.98,8.18,37.6,45.6,51.0,0.2,56.2,344.3,1.62,0.534,85.3,119,5.183
Wheat,South,Sandy,552.8,21.9,76.0,5.8,7.24,31.0,50.5,42.7,1.78,43.2,65.6,1.36,0.86,84.5,126,3.853
Rice,South,Clayey,596.3,17.9,65.0,6.26,7.06,41.2,37.3,36.4,3.06,74.8,459.9,1.72,0.693,103.7,60,4.351
Maize,Central,Loamy,1024.3,15.3,50.4,6.29,7.14,61.2,32.3,57.4,1.67,212.2,319.6,3.62,0.598,81.4,93,4.03
Maize,Central,Clayey,740.0,19.9,55.7,4.77,7.39,62.6,51.7,50.2,3.21,38.4,323.1,1.64,0.829,73.3,156,4.143
Maize,West,Silty,1020.9,29.2,75.9,5.01,8.19,59.1,51.1,49.0,1.85,232.4,485.0,2.42,0.599,88.0,89,3.927
Soybean,South,Sandy,823.6,25.4,25.8,6.7,5.32,63.7,55.3,60.9,4.29,204.9,228.8,1.42,0.526,44.4,94,2.223
Maize,East,Loamy,622.7,23.6,54.6,5.73,6.92,53.8,45.0,60.2,3.72,229.0,313.9,2.73,0.72,52.5,111,5.234
Cotton,South,Clayey,602.4,17.8,71.0,6.55,4.69,42.2,20.2,51.1,3.28,170.7,196.5,3.1,0.527,97.9,140,1.653
Maize,Central,Loamy,840.4,21.8,42.9,4.59,7.17,35.8,42.0,22.8,2.65,248.9,120.3,1.83,0.634,69.2,85,4.647
Rice,North,Loamy,905.1,28.4,66.4,8.2,6.89,31.1,40.4,31.2,1.97,63.9,333.5,2.71,0.662,64.0,113,4.356
Rice,West,Sandy,949.2,27.0,65.7,10.12,6.12,46.6,54.8,36.4,2.87,232.1,328.0,1.89,0.616,88.7,151,4.948
Rice,East,Sandy,634.6,21.1,38.2,8.54,4.63,61.8,52.7,44.5,1.77,332.5,45.2,2.05,0.664,77.4,128,4.456
Maize,West,Loamy,743.8,8.3,61.3,8.7,6.49,53.6,47.4,66.0,4.92,134.2,387.5,2.45,0.664,99.0,95,3.901
Rice,East,Silty,846.0,20.0,50.7,7.94,6.66,50.3,15.1,73.7,3.32,146.7,294.9,2.32,0.634,71.6,146,4.998
Cotton,North,Clayey,604.0,21.1,66.2,7.4,6.46,34.2,30.1,50.5,2.13,94.7,390.3,2.24,0.527,105.4,112,1.895
Maize,West,Silty,416.3,18.6,70.0,7.13,6.07,88.7,35.6,52.7,4.57,154.0,328.2,0.53,0.45,73.0,131,5.394
Cotton,West,Sandy,498.4,21.5,66.0,5.63,5.87,37.6,35.9,23.8,2.95,161.2,425.5,0.76,0.494,98.5,100,1.699
Soybean,East,Sandy,639.7,28.9,61.1,8.04,6.46,51.8,42.0,39.1,4.4,8.2,439.2,0.27,0.504,81.7,145,1.759
Rice,South,Silty,865.6,23.8,64.3,7.95,5.94,65.0,57.8,37.3,4.37,186.7,323.9,0.6,0.703,63.6,112,5.116
Rice,South,Loamy,1014.7,29.9,42.4,6.31,7.07,50.6,49.4,36.1,3.44,216.6,410.7,2.46,0.863,78.5,126,4.825
Soybean,East,Sandy,361.0,14.9,59.5,7.79,6.44,37.9,29.0,53.1,1.73,97.1,405.9,1.65,0.604,82.2,74,2.374
Rice,South,Silty,550.7,22.2,48.1,5.96,5.29,62.1,30.1,38.7,2.42,124.5,158.2,1.37,0.789,78.1,157,4.329
Rice,South,Sandy,610.5,12.4,75.5,6.05,6.62,29.9,29.0,18.5,6.59,200.9,194.1,3.8,0.499,64.3,153,4.605
Cotton,South,Silty,898.7,21.4,70.2,8.16,6.79,76.1,38.6,56.8,2.45,94.2,178.8,3.2,0.582,108.7,90,1.685
Maize,North,Sandy,568.0,17.7,70.2,7.65,7.63,54.2,49.7,61.8,2.74,194.6,379.7,0.41,0.579,84.9,158,5.405
Wheat,Central,Sandy,592.6,31.7,85.7,6.65,7.15,46.2,51.6,49.0,2.53,167.2,215.1,1.13,0.693,35.9,87,3.188
Maize,South,Silty,347.0,26.5,55.1,6.48,5.87,28.8,35.5,42.6,2.06,290.1,56.1,1.05,0.512,84.1,88,5.516
Maize,North,Loamy,820.9,30.1,51.8,7.26,7.5,32.7,39.6,32.4,3.7,142.3,178.9,2.06,0.715,90.1,115,4.638
Cotton,North,Silty,659.7,21.4,54.7,4.25,5.53,49.2,60.1,33.3,1.66,118.0,254.1,0.71,0.656,39.9,125,1.578
Soybean,Central,Loamy,536.5,17.9,36.0,5.86,6.52,78.4,22.2,60.0,2.17,164.8,355.2,1.32,0.629,65.8,142,2.486
Wheat,East,Sandy,635.1,17.7,37.1,5.1,7.03,53.5,47.7,34.5,3.31,156.9,455.1,2.42,0.518,98.5,118,3.308
Wheat,South,Clayey,981.7,25.6,69.3,7.02,7.52,55.2,46.4,73.2,2.75,247.9,414.3,1.87,0.355,83.2,93,2.703
Soybean,East,Clayey,448.8,34.9,39.1,8.63,7.82,55.8,36.4,58.3,3.16,244.8,321.4,0.69,0.536,83.2,147,2.272
Wheat,North,Silty,489.6,26.5,43.9,7.72,7.39,85.5,39.8,49.8,2.97,106.2,200.8,2.1,0.716,56.0,116,3.601
Rice,South,Silty,1013.1,21.8,58.5,6.23,6.4,43.4,45.0,83.0,1.83,138.5,59.5,2.13,0.338,62.9,136,3.965
Wheat,South,Clayey,718.9,22.9,53.8,5.94,6.91,73.5,36.5,62.9,4.46,108.3,241.6,2.21,0.367,52.8,144,3.269
Wheat,Central,Clayey,867.4,23.8,73.3,5.87,6.66,44.0,32.3,39.0,4.14,97.7,265.6,0.59,0.559,42.2,106,3.171
Cotton,North,Sandy,800.4,36.2,60.9,10.0,6.0,39.4,31.4,30.7,2.04,0.0,312.0,2.98,0.476,28.8,114,1.325
Wheat,East,Silty,691.2,31.4,48.0,7.1,6.42,48.8,62.3,39.1,3.48,251.3,407.4,1.5,0.95,121.7,136,3.38
Wheat,West,Clayey,612.9,25.6,74.6,7.3,7.76,48.7,34.7,43.6,2.51,109.8,380.6,0.85,0.638,65.4,144,3.317
Cotton,Central,Loamy,907.9,24.7,70.9,3.83,6.95,58.4,42.4,34.4,4.08,123.2,311.2,2.07,0.541,85.7,105,1.474
Wheat,East,Silty,990.6,25.8,38.8,5.23,7.94,15.1,49.4,29.3,3.86,316.2,252.2,2.66,0.772,102.5,119,2.794
Cotton,South,Sandy,971.0,27.0,63.8,6.93,5.74,52.2,37.5,48.3,4.26,111.6,117.2,2.6,0.592,83.0,85,1.7
Wheat,South,Sandy,403.6,21.5,49.3,6.25,6.23,41.0,40.4,57.4,2.05,139.0,203.9,3.29,0.588,78.1,110,3.519
Wheat,South,Sandy,1026.2,18.9,48.9,7.2,6.79,39.1,46.0,71.0,1.65,166.0,184.2,1.36,0.875,87.2,157,3.36
Wheat,West,Silty,610.5,30.2,88.0,7.18,7.02,30.6,29.8,46.1,1.14,170.3,611.1,0.38,0.289,120.9,74,2.621
Soybean,South,Sandy,511.2,24.1,61.9,7.9,6.42,44.5,21.6,53.4,5.68,112.9,539.4,1.67,0.456,81.1,165,2.136
Soybean,West,Sandy,657.7,29.7,56.7,4.2,7.06,42.3,31.2,19.1,3.91,217.4,148.9,0.0,0.681,50.8,166,2.128
Maize,West,Loamy,907.8,33.9,61.3,5.34,7.06,43.6,60.7,57.0,4.24,159.6,347.1,1.17,0.458,58.0,90,3.932
Rice,Central,Sandy,835.1,27.1,73.1,6.85,5.53,25.4,33.1,30.9,1.57,156.7,137.9,1.67,0.456,61.0,94,4.675
Wheat,South,Loamy,636.2,26.2,49.5,6.03,7.03,51.5,41.6,49.3,3.64,109.6,326.8,1.51,0.725,76.0,120,2.929
Maize,Central,Clayey,909.4,43.2,52.0,6.53,7.25,38.1,24.1,44.4,1.28,142.2,241.1,2.51,0.5,55.8,110,3.613
Rice,East,Silty,735.0,25.2,69.9,7.16,6.71,25.5,56.1,41.6,3.46,208.5,283.0,1.98,0.656,68.0,147,5.192
Maize,West,Sandy,556.8,17.5,37.3,5.88,5.21,41.8,36.4,24.2,3.02,208.7,426.2,2.45,0.563,76.6,140,4.932
Soybean,West,Silty,523.0,22.3,74.9,7.29,6.31,38.4,34.5,34.4,2.7,124.3,344.7,2.28,0.653,99.6,118,2.55
Cotton,Central,Silty,802.6,33.3,35.9,7.82,6.81,50.6,38.4,31.6,2.46,103.6,404.4,0.52,0.586,61.9,87,1.725
Maize,East,Loamy,679.4,16.2,56.3,7.1,5.89,41.6,70.2,36.7,4.18,202.7,360.3,2.6,0.726,91.7,113,4.664
Wheat,West,Clayey,356.1,19.5,36.0,8.08,7.14,28.3,45.3,61.6,2.48,168.1,212.1,1.46,0.744,84.6,184,3.904
Rice,South,Clayey,911.8,30.6,44.2,3.74,7.01,36.7,38.1,40.1,4.35,202.6,142.7,2.22,0.496,93.6,126,4.622
Cotton,East,Sandy,579.9,22.4,79.5,6.12,6.59,24.1,5.4,35.6,2.95,91.9,264.1,2.46,0.359,32.1,156,1.724
Maize,East,Silty,1098.0,23.3,75.7,8.34,6.51,67.1,56.2,54.1,3.37,148.7,263.8,1.2,0.58,44.0,130,4.458
Soybean,West,Sandy,349.3,30.4,77.3,5.7,6.64,69.5,31.7,49.6,3.55,202.8,237.3,1.31,0.513,49.2,164,2.299
Maize,West,Loamy,654.8,19.7,38.3,5.5,6.5,71.3,29.8,73.5,3.46,107.3,215.5,2.03,0.493,106.8,119,5.138
Wheat,North,Clayey,525.0,15.2,44.2,6.81,5.6,41.2,30.8,59.2,3.23,263.2,308.0,1.52,0.34,64.2,151,3.027
Cotton,Central,Loamy,456.1,15.7,65.1,6.97,6.2,69.5,57.6,17.2,5.15,247.8,458.6,3.72,0.539,56.3,145,1.808
Soybean,West,Sandy,578.3,27.5,70.7,6.2,6.55,56.1,39.5,56.3,4.13,137.8,48.0,2.01,0.606,77.4,123,2.543
Cotton,North,Clayey,1142.6,25.6,48.0,9.77,7.49,37.7,21.7,54.6,0.44,138.2,150.9,0.84,0.511,121.0,123,1.459
Cotton,Central,Clayey,735.8,19.8,51.3,7.43,6.98,40.6,37.6,68.2,2.79,169.3,331.4,4.08,0.593,66.2,84,1.596
Rice,West,Sandy,502.1,17.0,43.0,5.65,7.53,47.4,30.0,42.2,4.49,160.2,77.1,2.35,0.698,66.5,111,4.393
Rice,North,Sandy,242.8,22.4,84.9,4.84,5.52,51.5,44.3,60.3,2.19,222.9,126.8,1.96,0.813,99.0,183,4.401
Rice,East,Loamy,269.7,30.7,52.9,7.61,6.25,55.4,35.4,40.0,3.0,97.2,553.9,3.52,0.83,84.6,165,4.742
Cotton,Central,Sandy,565.9,19.0,60.5,5.61,7.95,50.0,21.2,49.1,3.08,97.8,367.5,2.31,0.503,79.7,118,1.596
Maize,South,Clayey,541.6,20.0,61.3,10.23,5.98,44.8,39.0,30.2,4.59,166.3,620.3,1.92,0.488,70.4,99,4.478
Maize,Central,Clayey,644.0,16.9,76.6,7.64,5.97,70.3,39.3,25.8,1.95,179.7,95.0,0.4,0.393,85.6,152,4.868
Cotton,East,Sandy,132.0,21.8,45.7,7.84,6.31,48.3,25.0,57.2,2.1,147.8,550.2,0.0,0.722,25.8,128,1.806
Soybean,South,Loamy,677.1,26.0,77.5,7.37,7.91,47.4,16.5,45.0,3.51,203.7,142.6,3.22,0.628,85.2,133,2.252
Cotton,South,Clayey,956.9,36.7,40.8,8.68,6.03,46.7,43.4,27.1,3.34,232.0,407.4,2.3,0.813,54.6,113,1.412
Cotton,East,Clayey,1105.7,25.3,77.5,3.41,6.89,48.3,36.6,56.4,3.52,194.8,38.8,1.8,0.627,108.9,158,1.656
Wheat,West,Loamy,226.4,23.7,34.3,5.2,6.77,29.6,37.4,6.7,3.32,172.3,334.9,1.86,0.516,100.6,127,3.757
Rice,Central,Clayey,499.7,29.2,58.4,8.55,5.15,35.0,48.9,33.7,2.88,137.0,343.3,2.31,0.593,95.0,136,4.758
Soybean,North,Loamy,486.4,28.2,84.4,9.25,6.49,86.7,16.7,21.7,3.56,154.5,246.2,2.63,0.567,119.4,94,2.113
Cotton,Central,Sandy,736.4,20.5,70.5,5.15,6.11,25.2,40.7,61.8,3.21,68.0,132.9,1.22,0.492,132.9,101,1.62
Wheat,East,Clayey,395.1,37.8,66.3,4.27,6.97,54.1,48.0,38.9,2.75,78.6,266.3,2.19,0.613,79.6,92,3.024
Rice,North,Clayey,1120.6,23.9,44.3,7.25,7.72,55.1,37.8,46.1,2.94,225.5,328.8,2.53,0.469,80.5,132,4.768
Maize,Central,Clayey,710.9,25.4,49.0,7.73,6.26,65.2,23.0,49.3,2.46,255.2,161.9,1.5,0.808,94.1,123,5.403
Soybean,South,Silty,669.2,27.3,80.2,7.22,6.26,55.5,32.1,56.3,2.29,68.0,275.2,0.0,0.342,92.1,87,2.079
Wheat,West,Loamy,1098.2,26.1,67.1,6.91,8.26,78.4,34.6,54.7,3.56,182.8,292.4,1.23,0.78,32.0,128,2.541
Soybean,West,Silty,696.0,33.2,73.4,4.22,6.0,53.6,21.1,56.2,1.69,58.5,354.2,0.7,0.525,74.1,124,1.946
Rice,North,Sandy,800.1,20.5,61.1,6.44,5.56,70.2,44.5,41.3,3.69,248.9,108.9,3.19,0.164,61.5,74,4.509
Rice,South,Sandy,512.3,28.7,55.8,6.66,7.46,65.6,40.0,56.9,2.74,149.0,228.6,1.04,0.33,87.8,102,4.316
Maize,West,Silty,357.4,25.0,71.5,6.18,6.46,73.1,32.3,35.8,2.9,301.2,321.1,1.0,0.59,88.5,126,6.291
Maize,South,Sandy,547.4,29.9,63.9,4.12,6.7,50.4,51.8,39.4,2.82,111.8,252.3,1.35,0.537,79.8,94,5.303
Soybean,North,Loamy,1246.7,22.7,57.5,7.88,8.06,56.0,33.7,23.5,3.5,119.4,168.2,2.84,0.661,65.5,114,2.08
Rice,North,Clayey,858.3,21.9,38.8,8.3,5.52,44.5,57.8,68.5,4.48,174.0,412.3,2.88,0.536,68.7,101,5.129
Cotton,Central,Clayey,768.6,28.4,74.3,5.81,6.36,52.4,36.8,31.1,4.8,204.2,416.3,1.19,0.687,116.4,81,1.95
Wheat,North,Clayey,455.9,26.1,66.6,6.72,5.63,53.2,28.5,64.8,4.05,198.7,390.4,1.55,0.602,31.3,67,3.183
Cotton,North,Loamy,927.8,19.1,50.9,6.25,6.73,18.8,28.9,52.5,3.08,208.4,256.1,1.82,0.698,140.4,90,1.496
Wheat,East,Clayey,360.6,32.1,77.7,6.27,6.11,47.9,41.1,47.8,3.8,136.4,275.3,3.39,0.73,117.0,170,3.617
Soybean,North,Loamy,308.2,28.4,63.7,7.74,5.68,63.3,27.2,50.1,0.98,209.1,449.8,0.0,0.676,76.3,89,2.475
Rice,West,Clayey,560.3,23.6,64.0,7.78,7.01,29.7,41.7,30.1,3.61,283.4,396.2,0.58,0.555,92.6,116,5.169
Rice,East,Clayey,1188.6,21.2,73.3,8.61,6.51,35.2,35.2,67.5,3.39,198.1,451.7,4.43,0.813,77.4,118,5.301
Wheat,West,Silty,1174.5,26.2,70.0,8.58,5.62,67.3,34.9,39.9,1.46,100.9,310.1,3.18,0.59,76.3,168,2.492
Soybean,East,Silty,587.2,28.0,64.4,6.74,5.67,70.1,39.5,59.2,2.42,175.6,373.1,0.51,0.491,70.6,68,2.327
Wheat,West,Loamy,531.5,14.4,57.2,11.26,6.65,40.7,52.1,37.4,3.28,32.5,379.7,5.14,0.536,66.2,102,3.682
Soybean,West,Loamy,289.9,26.3,89.8,9.32,5.33,52.6,33.5,25.0,3.38,192.1,473.1,2.64,0.658,93.9,127,2.499
Soybean,East,Clayey,719.5,27.9,49.0,6.01,6.66,48.8,42.2,72.8,3.96,50.0,26.5,2.11,0.75,62.3,117,2.475
Cotton,North,Silty,740.5,9.9,71.2,7.19,7.44,67.7,45.3,36.6,4.67,193.1,314.7,3.48,0.7,80.9,109,1.677
Soybean,South,Loamy,897.4,25.2,58.7,4.02,6.97,42.0,25.5,51.5,2.85,147.6,414.4,1.13,0.7,71.6,133,1.826
Rice,North,Sandy,927.7,28.2,66.8,7.04,6.06,44.3,46.3,5.0,1.86,210.3,441.2,1.51,0.545,118.8,67,3.976
Soybean,North,Sandy,650.6,27.5,78.5,9.51,6.69,70.1,49.8,44.0,3.82,152.9,245.7,2.08,0.763,101.4,112,2.395
Cotton,South,Sandy,839.0,28.8,55.3,11.17,5.62,35.0,51.6,53.5,4.29,234.8,346.8,2.5,0.601,64.9,105,1.566
Rice,South,Clayey,524.8,22.0,69.0,6.82,6.6,42.5,26.7,47.0,4.27,184.3,388.3,2.34,0.518,105.8,141,5.304
Wheat,North,Sandy,834.3,17.8,64.0,7.5,6.27,52.0,27.5,43.6,3.47,216.1,450.5,2.21,0.313,87.6,66,3.355
Cotton,South,Sandy,573.2,13.2,50.4,7.91,5.77,72.9,39.3,42.0,5.0,127.0,342.7,1.6,0.691,102.0,114,1.795
